word,frequency,year
will,61,2010
people,32,2010
americans,28,2010
year,26,2010
one,25,2010
can,24,2010
jobs,23,2010
years,20,2010
work,20,2010
new,20,2010
us,19,2010
american,18,2010
time,18,2010
america,18,2010
businesses,17,2010
know,17,2010
families,17,2010
now,17,2010
take,16,2010
two,16,2010
economy,15,2010
energy,15,2010
small,15,2010
last,15,2010
right,15,2010
thats,15,2010
just,14,2010
give,14,2010
need,14,2010
make,14,2010
took,13,2010
country,13,2010
tax,13,2010
even,13,2010
still,13,2010
lets,13,2010
government,13,2010
also,13,2010
many,13,2010
bill,13,2010
clean,12,2010
values,12,2010
nation,12,2010
security,12,2010
business,12,2010
health,11,2010
help,11,2010
go,11,2010
office,11,2010
like,11,2010
financial,11,2010
tonight,11,2010
care,11,2010
reform,11,2010
congress,10,2010
lives,10,2010
next,10,2010
get,10,2010
deficit,10,2010
million,9,2010
come,9,2010
working,9,2010
every,9,2010
continue,9,2010
national,9,2010
insurance,8,2010
banks,8,2010
system,8,2010
put,8,2010
dont,8,2010
another,8,2010
change,8,2010
back,8,2010
made,8,2010
act,8,2010
support,8,2010
create,8,2010
washington,8,2010
face,8,2010
must,8,2010
recovery,8,2010
taxes,8,2010
home,8,2010
united,7,2010
nations,7,2010
decade,7,2010
afford,7,2010
single,7,2010
decades,7,2010
cant,7,2010
steps,7,2010
im,7,2010
investment,7,2010
always,7,2010
difficult,6,2010
across,6,2010
end,6,2010
much,6,2010
big,6,2010
cut,6,2010
college,6,2010
house,6,2010
americas,6,2010
senate,6,2010
credit,6,2010
different,6,2010
cuts,6,2010
never,6,2010
away,6,2010
week,6,2010
first,6,2010
trillion,6,2010
job,6,2010
start,6,2010
theres,6,2010
invest,6,2010
future,6,2010
companies,6,2010
day,6,2010
plan,6,2010
states,6,2010
lobbyists,6,2010
children,6,2010
citizens,6,2010
finally,6,2010
making,6,2010
president,6,2010
recession,6,2010
women,6,2010
weve,5,2010
going,5,2010
hard,5,2010
pay,5,2010
street,5,2010
find,5,2010
investments,5,2010
serious,5,2010
debt,5,2010
means,5,2010
let,5,2010
fight,5,2010
together,5,2010
lost,5,2010
talk,5,2010
politics,5,2010
public,5,2010
meet,5,2010
move,5,2010
problem,5,2010
world,5,2010
well,5,2010
approach,5,2010
spending,5,2010
increase,5,2010
reason,5,2010
union,5,2010
spirit,5,2010
budget,5,2010
instead,5,2010
want,5,2010
helped,5,2010
problems,5,2010
middleclass,5,2010
workers,5,2010
building,5,2010
rights,5,2010
theyre,5,2010
hundred,5,2010
reduce,5,2010
education,5,2010
school,4,2010
keep,4,2010
chance,4,2010
lose,4,2010
already,4,2010
efforts,4,2010
equal,4,2010
century,4,2010
tomorrow,4,2010
ago,4,2010
coverage,4,2010
division,4,2010
promise,4,2010
nearly,4,2010
goal,4,2010
hold,4,2010
look,4,2010
millions,4,2010
arent,4,2010
party,4,2010
tough,4,2010
war,4,2010
responsibility,4,2010
place,4,2010
sent,4,2010
solve,4,2010
around,4,2010
markets,4,2010
deficits,4,2010
success,4,2010
see,4,2010
great,4,2010
