word,frequency,year
will,82,2009
can,26,2009
american,25,2009
economy,22,2009
know,22,2009
plan,21,2009
health,20,2009
every,20,2009
new,20,2009
people,20,2009
us,19,2009
now,18,2009
care,18,2009
america,17,2009
also,16,2009
years,15,2009
must,15,2009
energy,14,2009
jobs,14,2009
education,14,2009
time,14,2009
americans,13,2009
budget,13,2009
one,13,2009
country,12,2009
make,12,2009
day,11,2009
nation,11,2009
reform,11,2009
crisis,11,2009
tonight,11,2009
recovery,11,2009
cost,11,2009
banks,10,2009
world,10,2009
dont,10,2009
college,10,2009
responsibility,10,2009
tax,10,2009
next,10,2009
congress,10,2009
future,10,2009
money,10,2009
put,9,2009
just,9,2009
even,9,2009
work,9,2009
deficit,9,2009
back,8,2009
times,8,2009
take,8,2009
help,8,2009
first,8,2009
year,8,2009
well,8,2009
lending,8,2009
need,8,2009
children,8,2009
economic,8,2009
school,7,2009
government,7,2009
businesses,7,2009
system,7,2009
meet,7,2009
afford,7,2009
see,7,2009
high,7,2009
end,7,2009
ensure,7,2009
way,7,2009
right,7,2009
power,7,2009
history,7,2009
confidence,7,2009
century,6,2009
thats,6,2009
buy,6,2009
clean,6,2009
debt,6,2009
already,6,2009
challenges,6,2009
another,6,2009
still,6,2009
million,6,2009
credit,6,2009
schools,6,2009
made,6,2009
business,6,2009
come,6,2009
save,6,2009
begin,6,2009
invest,6,2009
financial,6,2009
bring,6,2009
largest,6,2009
recession,6,2009
families,6,2009
get,6,2009
longterm,6,2009
weve,5,2009
market,5,2009
keep,5,2009
old,5,2009
cut,5,2009
effort,5,2009
opportunity,5,2009
spend,5,2009
provide,5,2009
ask,5,2009
united,5,2009
never,5,2009
address,5,2009
ever,5,2009
job,5,2009
many,5,2009
like,5,2009
last,5,2009
home,5,2009
restart,5,2009
global,5,2009
prosperity,5,2009
lead,5,2009
necessary,5,2009
called,5,2009
family,5,2009
finally,5,2009
loans,5,2009
president,5,2009
dollars,5,2009
programs,5,2009
bad,5,2009
sense,4,2009
difficult,4,2009
costs,4,2009
goal,4,2009
across,4,2009
half,4,2009
moment,4,2009
pay,4,2009
force,4,2009
stand,4,2009
nearly,4,2009
accountable,4,2009
war,4,2009
helping,4,2009
able,4,2009
asked,4,2009
yet,4,2009
action,4,2009
receive,4,2009
days,4,2009
chamber,4,2009
single,4,2009
private,4,2009
worse,4,2009
technology,4,2009
may,4,2009
men,4,2009
homes,4,2009
values,4,2009
act,4,2009
issue,4,2009
support,4,2009
words,4,2009
without,4,2009
longer,4,2009
investment,4,2009
problems,4,2009
fact,4,2009
tell,4,2009
iraq,4,2009
restore,4,2009
renewable,4,2009
workers,4,2009
states,4,2009
easy,4,2009
administration,4,2009
say,4,2009
students,3,2009
letter,3,2009
insurance,3,2009
whatever,3,2009
sent,3,2009
progress,3,2009
layoffs,3,2009
seen,3,2009
wont,3,2009
depends,3,2009
return,3,2009
street,3,2009
simply,3,2009
decade,3,2009
savings,3,2009
medicare,3,2009
training,3,2009
promise,3,2009
use,3,2009
industry,3,2009
everyone,3,2009
decisions,3,2009
let,3,2009
hold,3,2009
nations,3,2009
protect,3,2009
security,3,2009
move,3,2009
together,3,2009
begins,3,2009
lost,3,2009
confront,3,2009
community,3,2009
child,3,2009
watching,3,2009
speak,3,2009
wait,3,2009
created,3,2009
inherited,3,2009
soon,3,2009
dollar,3,2009
problem,3,2009
away,3,2009
federal,3,2009
great,3,2009
step,3,2009
long,3,2009
compete,3,2009
entrepreneurs,3,2009
democrats,3,2009
breaks,3,2009
higher,3,2009
struggling,3,2009
build,3,2009
ability,3,2009
small,3,2009
includes,3,2009
govern,3,2009
place,3,2009
comprehensive,3,2009
auto,3,2009
forward,3,2009
solar,3,2009
serve,3,2009
women,3,2009
part,3,2009
concern,3,2009
resources,3,2009
republicans,3,2009
often,3,2009
cant,3,2009
good,3,2009
didnt,3,2009
comes,3,2009
legislation,3,2009
commitment,3,2009
send,3,2009
spirit,3,2009
working,3,2009
understand,3,2009
lines,3,2009
want,3,2009
solve,3,2009
life,3,2009
im,3,2009
given,3,2009
enough,3,2009
major,3,2009
hope,3,2009
housing,3,2009
pushed,3,2009
think,3,2009
lay,3,2009
beyond,3,2009
price,3,2009
makes,3,2009
taxpayer,3,2009
says,3,2009
passed,3,2009
depend,3,2009
national,3,2009
foundation,3,2009
ways,3,2009
today,3,2009
cause,3,2009
four,2,2009
ship,2,2009
dreams,2,2009
forge,2,2009
took,2,2009
invented,2,2009
doors,2,2009
probably,2,2009
vice,2,2009
hard,2,2009
quitters,2,2009
nobody,2,2009
laying,2,2009
secure,2,2009
tuition,2,2009
agenda,2,2009
lift,2,2009
households,2,2009
knew,2,2009
mortgage,2,2009
close,2,2009
complete,2,2009
efficient,2,2009
tomorrow,2,2009
launched,2,2009
generations,2,2009
expand,2,2009
serious,2,2009
fiscal,2,2009
said,2,2009
trust,2,2009
done,2,2009
oil,2,2009
car,2,2009
state,2,2009
safe,2,2009
failure,2,2009
disease,2,2009
threats,2,2009
inspiration,2,2009
fraud,2,2009
millions,2,2009
wasteful,2,2009
living,2,2009
massive,2,2009
tough,2,2009
set,2,2009
thirty,2,2009
rules,2,2009
change,2,2009
thousands,2,2009
lasting,2,2009
something,2,2009
enterprise,2,2009
seven,2,2009
carolina,2,2009
public,2,2009
young,2,2009
paychecks,2,2009
neighbor,2,2009
source,2,2009
stopped,2,2009
crushing,2,2009
afghanistan,2,2009
overseas,2,2009
critical,2,2009
bank,2,2009
upon,2,2009
different,2,2009
wind,2,2009
waste,2,2009
payments,2,2009
arrived,2,2009
become,2,2009
creating,2,2009
fully,2,2009
childrens,2,2009
worthy,2,2009
cuts,2,2009
south,2,2009
went,2,2009
important,2,2009
sitting,2,2009
look,2,2009
assure,2,2009
open,2,2009
office,2,2009
billions,2,2009
policies,2,2009
quick,2,2009
quickly,2,2009
rates,2,2009
wall,2,2009
months,2,2009
provided,2,2009
demand,2,2009
program,2,2009
strength,2,2009
career,2,2009
trillion,2,2009
seek,2,2009
require,2,2009
believe,2,2009
innovation,2,2009
approach,2,2009
spending,2,2009
historic,2,2009
extremism,2,2009
best,2,2009
diploma,2,2009
boldly,2,2009
weakened,2,2009
wake,2,2009
spur,2,2009
lose,2,2009
corporations,2,2009
countries,2,2009
two,2,2009
havent,2,2009
third,2,2009
lower,2,2009
senator,2,2009
areas,2,2009
industries,2,2009
fastestgrowing,2,2009
terrorists,2,2009
cars,2,2009
generation,2,2009
