word,frequency,year
will,58,2013
jobs,31,2013
can,24,2013
america,23,2013
new,23,2013
years,22,2013
now,22,2013
lets,20,2013
us,19,2013
tonight,19,2013
make,19,2013
energy,18,2013
american,18,2013
like,18,2013
people,18,2013
must,18,2013
congress,17,2013
families,17,2013
year,17,2013
work,17,2013
even,16,2013
right,16,2013
also,14,2013
education,14,2013
every,14,2013
need,14,2013
one,14,2013
thats,13,2013
country,13,2013
economy,13,2013
just,13,2013
tax,13,2013
time,13,2013
home,13,2013
americans,13,2013
job,12,2013
states,12,2013
get,11,2013
last,11,2013
know,11,2013
vote,11,2013
keep,10,2013
help,10,2013
next,10,2013
way,10,2013
im,10,2013
care,10,2013
reform,10,2013
deficit,10,2013
united,9,2013
security,9,2013
businesses,9,2013
together,9,2013
cuts,9,2013
government,9,2013
back,9,2013
act,9,2013
want,9,2013
well,9,2013
today,9,2013
hard,8,2013
already,8,2013
ago,8,2013
protect,8,2013
change,8,2013
cant,8,2013
future,8,2013
sure,8,2013
middle,8,2013
communities,8,2013
citizens,8,2013
power,8,2013
come,8,2013
stronger,8,2013
schools,8,2013
put,7,2013
take,7,2013
said,7,2013
dont,7,2013
ask,7,2013
gas,7,2013
made,7,2013
higher,7,2013
countries,7,2013
two,7,2013
create,7,2013
wage,7,2013
children,7,2013
task,7,2013
reduce,7,2013
women,7,2013
progress,6,2013
world,6,2013
chance,6,2013
efforts,6,2013
growth,6,2013
nation,6,2013
class,6,2013
parties,6,2013
young,6,2013
many,6,2013
first,6,2013
long,6,2013
high,6,2013
best,6,2013
idea,6,2013
support,6,2013
good,6,2013
minimum,6,2013
deserve,6,2013
working,6,2013
continue,6,2013
finally,6,2013
leaders,6,2013
violence,6,2013
rights,6,2013
cost,6,2013
give,6,2013
across,5,2013
school,5,2013
secure,5,2013
medicare,5,2013
costs,5,2013
oil,5,2013
health,5,2013
millions,5,2013
manufacturing,5,2013
live,5,2013
place,5,2013
americas,5,2013
reduction,5,2013
lives,5,2013
different,5,2013
rates,5,2013
months,5,2013
ahead,5,2013
grow,5,2013
military,5,2013
part,5,2013
agree,5,2013
students,5,2013
free,5,2013
lead,5,2013
reforms,5,2013
bill,5,2013
better,5,2013
making,5,2013
gun,5,2013
business,5,2013
housing,5,2013
administration,5,2013
weve,4,2013
four,4,2013
preschool,4,2013
training,4,2013
remains,4,2013
defense,4,2013
worked,4,2013
wealthiest,4,2013
generations,4,2013
investments,4,2013
stand,4,2013
nearly,4,2013
another,4,2013
go,4,2013
qaeda,4,2013
todays,4,2013
thousands,4,2013
child,4,2013
afghanistan,4,2013
works,4,2013
follow,4,2013
named,4,2013
away,4,2013
threat,4,2013
poverty,4,2013
look,4,2013
opportunities,4,2013
kids,4,2013
single,4,2013
bipartisan,4,2013
believe,4,2013
behind,4,2013
colleges,4,2013
start,4,2013
comprehensive,4,2013
prevent,4,2013
percent,4,2013
serve,4,2013
union,4,2013
budget,4,2013
invest,4,2013
forces,4,2013
day,4,2013
plan,4,2013
matter,4,2013
economic,4,2013
three,4,2013
north,4,2013
market,4,2013
six,4,2013
pass,4,2013
announcing,4,2013
al,4,2013
since,4,2013
example,4,2013
research,4,2013
real,4,2013
skills,4,2013
expect,4,2013
say,4,2013
natural,3,2013
infrastructure,3,2013
decade,3,2013
strengthen,3,2013
twenty,3,2013
hightech,3,2013
goal,3,2013
based,3,2013
half,3,2013
necessary,3,2013
pay,3,2013
dangerous,3,2013
hundreds,3,2013
helps,3,2013
seen,3,2013
wont,3,2013
partnership,3,2013
reducing,3,2013
folks,3,2013
cut,3,2013
promise,3,2013
rebuilding,3,2013
achieve,3,2013
parents,3,2013
bills,3,2013
college,3,2013
effort,3,2013
state,3,2013
means,3,2013
allies,3,2013
15,3,2013
shouldnt,3,2013
move,3,2013
courage,3,2013
party,3,2013
laws,3,2013
opportunity,3,2013
war,3,2013
still,3,2013
public,3,2013
democracy,3,2013
climate,3,2013
meet,3,2013
obligations,3,2013
rising,3,2013
york,3,2013
dollar,3,2013
fully,3,2013
never,3,2013
fulltime,3,2013
open,3,2013
hire,3,2013
ceo,3,2013
ever,3,2013
receive,3,2013
recognize,3,2013
choose,3,2013
federal,3,2013
great,3,2013
towns,3,2013
faith,3,2013
chamber,3,2013
groups,3,2013
private,3,2013
ability,3,2013
trillion,3,2013
daughters,3,2013
propose,3,2013
technology,3,2013
code,3,2013
sent,3,2013
almost,3,2013
spending,3,2013
raise,3,2013
brian,3,2013
save,3,2013
simple,3,2013
crisis,3,2013
economists,3,2013
wait,3,2013
lower,3,2013
living,3,2013
terrorists,3,2013
cars,3,2013
race,3,2013
highquality,3,2013
republicans,3,2013
benefits,3,2013
proposals,3,2013
responsible,3,2013
urge,3,2013
rest,3,2013
send,3,2013
things,3,2013
global,3,2013
companies,3,2013
bring,3,2013
passing,3,2013
prosperity,3,2013
newtown,3,2013
thank,3,2013
freedom,3,2013
afghan,3,2013
science,3,2013
level,3,2013
asking,3,2013
retirement,3,2013
equal,3,2013
strong,3,2013
fact,3,2013
ive,3,2013
growing,3,2013
hour,3,2013
lay,3,2013
course,3,2013
makes,3,2013
proposing,3,2013
fill,3,2013
legal,3,2013
democrats,3,2013
nuclear,3,2013
law,3,2013
fair,3,2013
getting,3,2013
equip,3,2013
line,3,2013
nothing,3,2013
none,3,2013
safety,3,2013
immigration,3,2013
modern,3,2013
dollars,3,2013
fellow,3,2013
police,2,2013
engage,2,2013
john,2,2013
expanding,2,2013
ordered,2,2013
corporate,2,2013
alone,2,2013
forge,2,2013
whose,2,2013
capacity,2,2013
system,2,2013
learning,2,2013
buy,2,2013
throughout,2,2013
deliver,2,2013
