word,frequency,year
will,57,2012
jobs,33,2012
american,33,2012
america,29,2012
new,27,2012
can,26,2012
one,26,2012
right,26,2012
thats,24,2012
get,24,2012
energy,23,2012
tax,23,2012
every,22,2012
people,21,2012
now,20,2012
americans,20,2012
like,19,2012
year,19,2012
weve,18,2012
years,18,2012
country,17,2012
time,16,2012
back,16,2012
cant,16,2012
work,16,2012
world,15,2012
congress,15,2012
us,15,2012
last,15,2012
make,15,2012
help,14,2012
im,14,2012
businesses,13,2012
need,13,2012
home,13,2012
economy,12,2012
dont,12,2012
lets,12,2012
also,12,2012
built,12,2012
want,12,2012
tonight,12,2012
youre,12,2012
workers,12,2012
million,11,2012
know,11,2012
business,11,2012
pay,11,2012
companies,11,2012
oil,10,2012
financial,10,2012
states,10,2012
clean,9,2012
industry,9,2012
go,9,2012
rules,9,2012
long,9,2012
job,9,2012
debt,9,2012
gas,9,2012
today,9,2012
put,8,2012
college,8,2012
nearly,8,2012
nation,8,2012
manufacturing,8,2012
together,8,2012
government,8,2012
away,8,2012
keep,8,2012
first,8,2012
stop,8,2012
education,8,2012
next,8,2012
power,8,2012
taxes,8,2012
sense,7,2012
chance,7,2012
values,7,2012
just,7,2012
millions,7,2012
unit,7,2012
afford,7,2012
mission,7,2012
made,7,2012
products,7,2012
great,7,2012
end,7,2012
two,7,2012
support,7,2012
company,7,2012
getting,7,2012
send,7,2012
way,7,2012
future,7,2012
well,7,2012
enough,7,2012
making,7,2012
fair,7,2012
deficit,7,2012
ever,6,2012
united,6,2012
money,6,2012
let,6,2012
war,6,2012
responsibility,6,2012
change,6,2012
community,6,2012
never,6,2012
federal,6,2012
many,6,2012
innovation,6,2012
come,6,2012
percent,6,2012
administration,6,2012
use,6,2012
working,6,2012
republican,6,2012
pass,6,2012
got,6,2012
give,6,2012
needs,5,2012
hard,5,2012
tuition,5,2012
already,5,2012
take,5,2012
small,5,2012
troops,5,2012
investments,5,2012
promise,5,2012
everyone,5,2012
matter,5,2012
state,5,2012
another,5,2012
veterans,5,2012
shouldnt,5,2012
security,5,2012
share,5,2012
public,5,2012
leaders,5,2012
arent,5,2012
days,5,2012
look,5,2012
least,5,2012
start,5,2012
prevent,5,2012
may,5,2012
part,5,2012
control,5,2012
regulations,5,2012
less,5,2012
ones,5,2012
create,5,2012
bring,5,2012
day,5,2012
