word,frequency,year
will,58,2011
can,37,2011
new,36,2011
us,33,2011
people,31,2011
years,25,2011
jobs,25,2011
now,25,2011
thats,24,2011
make,23,2011
just,21,2011
work,20,2011
american,19,2011
government,18,2011
last,18,2011
america,18,2011
know,17,2011
tonight,17,2011
need,16,2011
world,15,2011
nation,15,2011
year,15,2011
future,15,2011
want,15,2011
one,15,2011
take,14,2011
time,14,2011
well,14,2011
weve,13,2011
country,13,2011
come,13,2011
every,12,2011
also,12,2011
two,12,2011
like,12,2011
get,12,2011
americans,12,2011
business,12,2011
spending,11,2011
education,11,2011
first,11,2011
schools,11,2011
tax,10,2011
congress,10,2011
best,10,2011
next,10,2011
theyre,10,2011
im,10,2011
deficit,10,2011
energy,9,2011
americas,9,2011
innovation,9,2011
race,9,2011
republicans,9,2011
good,9,2011
students,9,2011
dream,9,2011
success,9,2011
must,9,2011
care,9,2011
law,9,2011
research,9,2011
place,8,2011
lets,8,2011
businesses,8,2011
win,8,2011
democrats,8,2011
technology,8,2011
many,8,2011
believe,8,2011
company,8,2011
without,8,2011
better,8,2011
give,8,2011
goal,7,2011
put,7,2011
health,7,2011
economy,7,2011
already,7,2011
said,7,2011
dont,7,2011
college,7,2011
workers,7,2011
help,7,2011
child,7,2011
willing,7,2011
back,7,2011
high,7,2011
idea,7,2011
percent,7,2011
may,7,2011
companies,7,2011
children,7,2011
possible,7,2011
way,7,2011
within,6,2011
across,6,2011
clean,6,2011
whether,6,2011
small,6,2011
ago,6,2011
done,6,2011
go,6,2011
together,6,2011
responsibility,6,2011
cuts,6,2011
made,6,2011
job,6,2011
internet,6,2011
home,6,2011
part,6,2011
support,6,2011
things,6,2011
afghan,6,2011
sure,6,2011
troops,6,2011
life,6,2011
money,6,2011
behind,6,2011
reform,6,2011
korea,5,2011
system,5,2011
hard,5,2011
progress,5,2011
school,5,2011
think,5,2011
chance,5,2011
never,5,2011
whats,5,2011
parents,5,2011
industry,5,2011
brandon,5,2011
safe,5,2011
let,5,2011
live,5,2011
still,5,2011
change,5,2011
meet,5,2011
different,5,2011
used,5,2011
south,5,2011
compete,5,2011
brothers,5,2011
leadership,5,2011
taken,5,2011
men,5,2011
didnt,5,2011
nuclear,5,2011
deserve,5,2011
science,5,2011
ive,5,2011
information,5,2011
since,5,2011
matter,5,2011
states,5,2011
century,4,2011
costs,4,2011
half,4,2011
big,4,2011
find,4,2011
investments,4,2011
cut,4,2011
stand,4,2011
nations,4,2011
even,4,2011
bigger,4,2011
always,4,2011
reach,4,2011
set,4,2011
rules,4,2011
war,4,2011
projects,4,2011
little,4,2011
speak,4,2011
left,4,2011
recession,4,2011
created,4,2011
move,4,2011
united,4,2011
require,4,2011
days,4,2011
step,4,2011
kids,4,2011
degree,4,2011
communities,4,2011
seen,4,2011
forward,4,2011
end,4,2011
space,4,2011
employees,4,2011
industries,4,2011
generation,4,2011
ask,4,2011
invest,4,2011
trade,4,2011
create,4,2011
day,4,2011
china,4,2011
level,4,2011
worst,4,2011
women,4,2011
family,4,2011
able,4,2011
right,4,2011
remember,4,2011
clear,4,2011
isnt,4,2011
comes,4,2011
teachers,4,2011
might,4,2011
making,4,2011
yet,4,2011
changed,4,2011
al,4,2011
highspeed,4,2011
earth,4,2011
building,4,2011
passed,4,2011
dollars,4,2011
today,4,2011
age,4,2011
four,3,2011
project,3,2011
dreams,3,2011
infrastructure,3,2011
decade,3,2011
corporate,3,2011
forge,3,2011
saw,3,2011
top,3,2011
defense,3,2011
enforce,3,2011
wherever,3,2011
wont,3,2011
insurance,3,2011
water,3,2011
savings,3,2011
coverage,3,2011
generations,3,2011
sell,3,2011
coming,3,2011
challenge,3,2011
greater,3,2011
promise,3,2011
plan,3,2011
thanks,3,2011
protect,3,2011
india,3,2011
math,3,2011
try,3,2011
effort,3,2011
nearly,3,2011
means,3,2011
millions,3,2011
qaeda,3,2011
security,3,2011
parties,3,2011
competition,3,2011
thing,3,2011
laws,3,2011
cutting,3,2011
share,3,2011
thousands,3,2011
community,3,2011
something,3,2011
others,3,2011
young,3,2011
faster,3,2011
takes,3,2011
around,3,2011
gets,3,2011
credit,3,2011
moment,3,2011
winning,3,2011
families,3,2011
rid,3,2011
challenges,3,2011
away,3,2011
five,3,2011
apart,3,2011
arent,3,2011
exports,3,2011
feel,3,2011
products,3,2011
federal,3,2011
great,3,2011
weapons,3,2011
faith,3,2011
abroad,3,2011
story,3,2011
proposed,3,2011
single,3,2011
private,3,2011
iraq,3,2011
stop,3,2011
began,3,2011
grow,3,2011
known,3,2011
solar,3,2011
homes,3,2011
countries,3,2011
determined,3,2011
tucson,3,2011
man,3,2011
living,3,2011
begun,3,2011
colleges,3,2011
railroad,3,2011
benefits,3,2011
doesnt,3,2011
begin,3,2011
cant,3,2011
affordable,3,2011
later,3,2011
theres,3,2011
instead,3,2011
steps,3,2011
bring,3,2011
free,3,2011
lead,3,2011
worked,3,2011
necessary,3,2011
quality,3,2011
chamber,3,2011
speaker,3,2011
called,3,2011
point,3,2011
standing,3,2011
investment,3,2011
fact,3,2011
citizens,3,2011
three,3,2011
worlds,3,2011
market,3,2011
ideas,3,2011
starting,3,2011
pass,3,2011
course,3,2011
agreements,3,2011
policy,3,2011
student,3,2011
everything,3,2011
says,3,2011
borders,3,2011
drilling,3,2011
example,3,2011
burden,3,2011
