word,frequency,year
new,41,2015
will,35,2015
america,35,2015
us,29,2015
thats,29,2015
years,25,2015
every,24,2015
can,24,2015
make,23,2015
need,22,2015
people,22,2015
time,21,2015
want,21,2015
like,20,2015
work,20,2015
country,19,2015
american,19,2015
one,19,2015
world,18,2015
economy,18,2015
jobs,18,2015
americans,18,2015
lets,17,2015
now,17,2015
families,16,2015
know,16,2015
still,15,2015
year,15,2015
right,14,2015
weve,13,2015
congress,13,2015
first,13,2015
back,13,2015
tonight,13,2015
sure,13,2015
keep,12,2015
better,12,2015
century,11,2015
hard,11,2015
past,11,2015
workers,11,2015
many,11,2015
get,11,2015
home,11,2015
college,10,2015
businesses,10,2015
higher,10,2015
job,10,2015
today,10,2015
dont,9,2015
done,9,2015
ever,9,2015
made,9,2015
future,9,2015
use,9,2015
strong,9,2015
middle,9,2015
ive,9,2015
making,9,2015
protect,9,2015
states,9,2015
paid,9,2015
everyone,8,2015
pay,8,2015
help,8,2015
thing,8,2015
young,8,2015
childcare,8,2015
together,8,2015
doesnt,8,2015
good,8,2015
instead,8,2015
just,8,2015
since,8,2015
fair,8,2015
rebekah,7,2015
health,7,2015
effort,7,2015
nation,7,2015
class,7,2015
politics,7,2015
share,7,2015
set,7,2015
community,7,2015
united,7,2015
great,7,2015
long,7,2015
democrats,7,2015
believe,7,2015
well,7,2015
last,7,2015
agree,7,2015
republicans,7,2015
free,7,2015
leave,7,2015
family,7,2015
power,7,2015
give,7,2015
working,7,2015
let,6,2015
allies,6,2015
security,6,2015
rules,6,2015
change,6,2015
kids,6,2015
ahead,6,2015
best,6,2015
diplomacy,6,2015
act,6,2015
things,6,2015
lead,6,2015
go,6,2015
surely,6,2015
sick,6,2015
im,6,2015
infrastructure,5,2015
fastest,5,2015
system,5,2015
put,5,2015
times,5,2015
ideas,5,2015
seen,5,2015
6,5,2015
small,5,2015
economics,5,2015
folks,5,2015
growing,5,2015
plan,5,2015
come,5,2015
nations,5,2015
another,5,2015
even,5,2015
15,5,2015
millions,5,2015
government,5,2015
opportunity,5,2015
something,5,2015
write,5,2015
opportunities,5,2015
also,5,2015
military,5,2015
looking,5,2015
leadership,5,2015
crisis,5,2015
values,5,2015
terrorists,5,2015
generation,5,2015
rate,5,2015
cant,5,2015
million,5,2015
next,5,2015
send,5,2015
thank,5,2015
worked,5,2015
ago,5,2015
asking,5,2015
combat,5,2015
continue,5,2015
finally,5,2015
care,5,2015
stronger,5,2015
student,5,2015
got,5,2015
trade,5,2015
example,5,2015
sense,4,2015
decade,4,2015
needs,4,2015
networks,4,2015
school,4,2015
two,4,2015
west,4,2015
chance,4,2015
close,4,2015
cut,4,2015
said,4,2015
tightknit,4,2015
oil,4,2015
woman,4,2015
veterans,4,2015
live,4,2015
war,4,2015
sanctions,4,2015
around,4,2015
child,4,2015
meet,4,2015
issues,4,2015
lives,4,2015
story,4,2015
building,4,2015
believed,4,2015
bipartisan,4,2015
raise,4,2015
president,4,2015
may,4,2015
cuba,4,2015
lower,4,2015
issue,4,2015
iran,4,2015
forces,4,2015
nuclear,4,2015
way,4,2015
companies,4,2015
steps,4,2015
bring,4,2015
understand,4,2015
wages,4,2015
workforce,4,2015
spread,4,2015
high,4,2015
gave,4,2015
worlds,4,2015
makes,4,2015
climate,4,2015
2,4,2015
see,4,2015
stay,4,2015
always,4,2015
national,4,2015
per,4,2015
economic,4,2015
took,3,2015
10,3,2015
progress,3,2015
across,3,2015
much,3,2015
hardworking,3,2015
wont,3,2015
foreign,3,2015
basic,3,2015
take,3,2015
challenges,3,2015
efforts,3,2015
certain,3,2015
troops,3,2015
ben,3,2015
thanks,3,2015
costly,3,2015
parents,3,2015
industry,3,2015
everybody,3,2015
earn,3,2015
state,3,2015
safe,3,2015
tax,3,2015
number,3,2015
laws,3,2015
mission,3,2015
spend,3,2015
americas,3,2015
office,3,2015
afghanistan,3,2015
information,3,2015
helping,3,2015
twentyfirst,3,2015
planet,3,2015
defend,3,2015
shot,3,2015
creating,3,2015
action,3,2015
deficits,3,2015
try,3,2015
threat,3,2015
supporting,3,2015
loopholes,3,2015
vision,3,2015
focus,3,2015
choose,3,2015
agenda,3,2015
program,3,2015
benefits,3,2015
months,3,2015
single,3,2015
strength,3,2015
build,3,2015
fears,3,2015
life,3,2015
require,3,2015
including,3,2015
almost,3,2015
loans,3,2015
mr,3,2015
internet,3,2015
prevent,3,2015
end,3,2015
idea,3,2015
percent,3,2015
countries,3,2015
striving,3,2015
man,3,2015
scientists,3,2015
told,3,2015
support,3,2015
begin,3,2015
less,3,2015
comes,3,2015
earned,3,2015
theres,3,2015
committed,3,2015
veto,3,2015
risk,3,2015
access,3,2015
common,3,2015
china,3,2015
without,3,2015
served,3,2015
democratic,3,2015
record,3,2015
heres,3,2015
shores,3,2015
possible,3,2015
hope,3,2015
construction,3,2015
paying,3,2015
isnt,3,2015
veteran,3,2015
bill,3,2015
stop,3,2015
beyond,3,2015
market,3,2015
pass,3,2015
yet,3,2015
commitment,3,2015
second,3,2015
privacy,3,2015
theyve,3,2015
law,3,2015
taxes,3,2015
vote,3,2015
gay,3,2015
nothing,3,2015
tools,3,2015
highest,3,2015
starting,3,2015
globe,3,2015
strategy,2,2015
fifteen,2,2015
dreams,2,2015
rather,2,2015
50,2,2015
generosity,2,2015
training,2,2015
universal,2,2015
stands,2,2015
terrorist,2,2015
point,2,2015
road,2,2015
sent,2,2015
vice,2,2015
white,2,2015
resolve,2,2015
bounce,2,2015
think,2,2015
helps,2,2015
gitmo,2,2015
cyber,2,2015
bedrock,2,2015
medicine,2,2015
mortgage,2,2015
asia,2,2015
already,2,2015
street,2,2015
worthy,2,2015
growth,2,2015
shut,2,2015
safer,2,2015
potential,2,2015
sights,2,2015
easier,2,2015
dragged,2,2015
greater,2,2015
proof,2,2015
force,2,2015
ending,2,2015
achieve,2,2015
stand,2,2015
speech,2,2015
rising,2,2015
purpose,2,2015
ends,2,2015
constant,2,2015
worker,2,2015
debt,2,2015
energy,2,2015
nearly,2,2015
disease,2,2015
means,2,2015
graduate,2,2015
deals,2,2015
east,2,2015
threats,2,2015
fuel,2,2015
justice,2,2015
blind,2,2015
agreement,2,2015
911,2,2015
happen,2,2015
transition,2,2015
mom,2,2015
