word,frequency,year
will,53,2003
people,31,2003
weapons,27,2003
world,25,2003
america,23,2003
country,20,2003
hussein,19,2003
saddam,19,2003
must,18,2003
many,17,2003
americans,17,2003
united,15,2003
every,15,2003
american,14,2003
us,14,2003
can,14,2003
one,14,2003
year,13,2003
nation,13,2003
years,13,2003
government,12,2003
million,12,2003
nuclear,12,2003
nations,11,2003
help,11,2003
war,11,2003
aids,11,2003
tonight,11,2003
inspectors,11,2003
new,11,2003
economy,10,2003
threat,10,2003
security,10,2003
congress,10,2003
intelligence,10,2003
iraq,10,2003
work,10,2003
ask,9,2003
citizens,9,2003
care,9,2003
power,9,2003
peace,9,2003
states,9,2003
drugs,8,2003
energy,8,2003
health,8,2003
good,8,2003
life,8,2003
now,8,2003
make,8,2003
yet,8,2003
al,8,2003
materials,7,2003
qaida,7,2003
great,7,2003
chemical,7,2003
iraqi,7,2003
terrorists,7,2003
tax,7,2003
next,7,2003
children,7,2003
africa,7,2003
terrorist,6,2003
regime,6,2003
keep,6,2003
international,6,2003
much,6,2003
protect,6,2003
terror,6,2003
know,6,2003
biological,6,2003
disarm,6,2003
first,6,2003
also,6,2003
men,6,2003
income,6,2003
need,6,2003
bring,6,2003
day,6,2003
plan,6,2003
use,6,2003
seniors,6,2003
continue,6,2003
evidence,6,2003
sent,5,2003
system,5,2003
medicare,5,2003
destroyed,5,2003
threats,5,2003
even,5,2003
fight,5,2003
members,5,2003
produce,5,2003
person,5,2003
working,5,2003
history,5,2003
mass,5,2003
days,5,2003
federal,5,2003
hes,5,2003
agents,5,2003
seek,5,2003
like,5,2003
human,5,2003
time,5,2003
urge,5,2003
way,5,2003
future,5,2003
instead,5,2003
sources,5,2003
free,5,2003
treatment,5,2003
freedom,5,2003
given,5,2003
enough,5,2003
right,5,2003
money,5,2003
pass,5,2003
reform,5,2003
korean,5,2003
billion,5,2003
today,5,2003
destruction,4,2003
goal,4,2003
across,4,2003
evil,4,2003
medicine,4,2003
away,4,2003
just,4,2003
countries,4,2003
millions,4,2003
ambitions,4,2003
set,4,2003
thousands,4,2003
place,4,2003
attacks,4,2003
lives,4,2003
defend,4,2003
3,4,2003
receive,4,2003
program,4,2003
abroad,4,2003
un,4,2003
almost,4,2003
small,4,2003
act,4,2003
scientists,4,2003
east,4,2003
compassion,4,2003
relief,4,2003
sure,4,2003
without,4,2003
called,4,2003
propose,4,2003
accounted,4,2003
possible,4,2003
different,4,2003
budget,4,2003
come,4,2003
programs,4,2003
see,4,2003
north,4,2003
women,4,2003
cause,4,2003
fellow,4,2003
weve,3,2003
whatever,3,2003
century,3,2003
training,3,2003
doctors,3,2003
mentors,3,2003
initiative,3,2003
friends,3,2003
crucial,3,2003
september,3,2003
put,3,2003
4,3,2003
secure,3,2003
1990s,3,2003
already,3,2003
liberty,3,2003
develop,3,2003
coverage,3,2003
call,3,2003
greater,3,2003
dominate,3,2003
forced,3,2003
measures,3,2003
nearly,3,2003
deserve,3,2003
another,3,2003
allies,3,2003
15,3,2003
go,3,2003
together,3,2003
confront,3,2003
americas,3,2003
danger,3,2003
